,State,2013,2014,2015,2016,2017,2018,Average
0,Alabama,5.2282e-06,1.13221e-05,7.9863e-06,1.38089e-05,3.084e-06,0.0,6.904916666666666e-06
1,Alaska,1.09447e-05,8.1926e-06,1.0887e-05,1.48937e-05,5.4333e-06,9.5401e-06,9.9819e-06
2,Arizona,2.43766e-05,4.11901e-05,4.16737e-05,3.34805e-05,3.90776e-05,2.32647e-05,3.384386666666667e-05
3,Arkansas,9.6101e-06,3.0055e-06,1.8152e-06,4.2051e-06,2.4681e-06,4.5218e-06,4.270966666666667e-06
4,California,2.19964e-05,1.95606e-05,2.13862e-05,2.37242e-05,2.76758e-05,2.68975e-05,2.3540116666666665e-05
5,Colorado,2.47905e-05,1.82212e-05,1.9648e-05,1.88414e-05,1.90113e-05,2.1952e-05,2.0410733333333334e-05
6,Connecticut,4.06576e-05,3.64373e-05,2.73604e-05,2.96383e-05,3.09349e-05,2.57138e-05,3.179038333333333e-05
7,Delaware,1.29625e-05,1.38946e-05,1.16287e-05,1.57552e-05,3.01474e-05,1.66242e-05,1.683543333333333e-05
8,District of Columbia,0.0001113777,0.0001062388,9.66934e-05,0.0001688272,0.0002781092,0.0003032223,0.00017741143333333334
9,Florida,3.9063e-06,3.2838e-06,1.34407e-05,1.06808e-05,7.0679e-06,6.7391e-06,7.519766666666666e-06
10,Georgia,7.2912e-06,4.9972e-06,5.506e-06,4.7468e-06,3.0174e-06,4.1189e-06,4.9462499999999994e-06
11,Idaho,1.98551e-05,1.52998e-05,2.05503e-05,1.60414e-05,3.11901e-05,1.32264e-05,1.9360516666666665e-05
12,Illinois,8.5578e-06,9.061e-06,7.1994e-06,8.9708e-06,6.6828e-06,8.9595e-06,8.238550000000001e-06
13,Indiana,1.85876e-05,8.2054e-06,1.95364e-05,2.71344e-05,2.40458e-05,3.56168e-05,2.2187733333333334e-05
14,Iowa,3.3801e-06,3.698e-06,1.9323e-06,5.4596e-06,3.543e-06,3.2872e-06,3.5500333333333337e-06
15,Kansas,2.4011e-05,2.56755e-05,2.26168e-05,1.89092e-05,2.86174e-05,2.69418e-05,2.4461949999999997e-05
16,Kentucky,3.94532e-05,3.71592e-05,4.27043e-05,4.65271e-05,8.50539e-05,5.28316e-05,5.062154999999999e-05
17,Louisiana,6.7962e-06,3.3258e-06,1.02376e-05,7.3024e-06,6.9058e-06,1.27532e-05,7.886833333333332e-06
18,Maine,1.8821e-05,2.10512e-05,2.85859e-05,3.00418e-05,2.39538e-05,1.49432e-05,2.2899483333333333e-05
19,Maryland,8.6021e-06,2.6772e-06,6.8261e-06,6.1498e-06,7.931e-06,8.1128e-06,6.7165e-06
