,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
1,53764
2,82307
3,59700
4,51528
5,71015
6,75405
7,88819
8,72594
9,84094
10,57212
11,58885
12,79187
13,58101
14,71796
15,60780
16,67771
17,66425
18,54776
19,56573
20,62078
21,89678
22,87951
23,62143
24,77941
25,50178
26,61299
27,60643
28,66120
29,60824
30,80581
31,88419
32,54705
33,71115
34,57380
35,75221
36,62300
37,58710
38,62670
39,67876
40,71212
41,56491
42,66936
43,55557
44,62830
45,69535
46,67154
47,78290
48,74193
49,52413
50,67187
51,72460
