,State,Gini_Index_Est_2013,Gini_Index_Est_2014,Gini_Index_Est_2015,Gini_Index_Est_2016,Gini_Index_Est_2017
0,Alabama,0.4729,0.4740,0.4753,0.4769,0.4776
1,Alaska,0.4143,0.4146,0.4181,0.4174,0.4180
2,Arizona,0.4585,0.4614,0.4651,0.4682,0.4690
3,Arkansas,0.4646,0.4661,0.4702,0.4708,0.4732
4,California,0.4782,0.4823,0.4858,0.4880,0.4889
5,Colorado,0.4568,0.4584,0.4592,0.4590,0.4589
6,Connecticut,0.4874,0.4919,0.4930,0.4947,0.4950
7,Delaware,0.4410,0.4433,0.4462,0.4488,0.4570
8,District of Columbia,0.5303,0.5295,0.5317,0.5334,0.5314
9,Florida,0.4782,0.4812,0.4843,0.4852,0.4858
10,Georgia,0.4749,0.4775,0.4801,0.4816,0.4821
11,Hawaii,0.4313,0.4321,0.4322,0.4369,0.4404
12,Idaho,0.4318,0.4375,0.4418,0.4457,0.4478
13,Illinois,0.4714,0.4731,0.4768,0.4789,0.4809
14,Indiana,0.4432,0.4450,0.4483,0.4494,0.4505
15,Iowa,0.4326,0.4358,0.4386,0.4422,0.4427
16,Kansas,0.4481,0.4517,0.4536,0.4555,0.4560
17,Kentucky,0.4679,0.4693,0.4720,0.4741,0.4762
18,Louisiana,0.4802,0.4840,0.4876,0.4903,0.4910
19,Maine,0.4430,0.4490,0.4516,0.4515,0.4529
20,Maryland,0.4471,0.4483,0.4500,0.4513,0.4520
21,Massachusetts,0.4770,0.4801,0.4819,0.4826,0.4831
22,Michigan,0.4580,0.4592,0.4624,0.4648,0.4656
23,Minnesota,0.4423,0.4459,0.4480,0.4490,0.4501
24,Mississippi,0.4753,0.4769,0.4775,0.4799,0.4781
25,Missouri,0.4576,0.4604,0.4618,0.4632,0.4630
26,Montana,0.4442,0.4484,0.4539,0.4587,0.4607
27,Nebraska,0.4389,0.4383,0.4421,0.4420,0.4427
28,Nevada,0.4469,0.4493,0.4510,0.4522,0.4528
29,New Hampshire,0.4326,0.4340,0.4359,0.4344,0.4354
30,New Jersey,0.4702,0.4721,0.4759,0.4782,0.4802
31,New Mexico,0.4691,0.4724,0.4760,0.4754,0.4764
32,New York,0.5022,0.5048,0.5083,0.5102,0.5129
33,North Carolina,0.4686,0.4703,0.4734,0.4748,0.4761
34,North Dakota,0.4487,0.4535,0.4577,0.4586,0.4589
35,Ohio,0.4577,0.4598,0.4626,0.4641,0.4644
36,Oklahoma,0.4603,0.4624,0.4655,0.4652,0.4654
37,Oregon,0.4539,0.4581,0.4606,0.4612,0.4615
38,Pennsylvania,0.4631,0.4646,0.4667,0.4680,0.4705
39,Rhode Island,0.4675,0.4720,0.4719,0.4738,0.4748
40,South Carolina,0.4647,0.4657,0.4674,0.4690,0.4706
41,South Dakota,0.4409,0.4404,0.4411,0.4438,0.4462
42,Tennessee,0.4717,0.4751,0.4771,0.4786,0.4801
43,Texas,0.4751,0.4769,0.4796,0.4803,0.4803
44,Utah,0.4215,0.4247,0.4259,0.4261,0.4261
45,Vermont,0.4383,0.4412,0.4403,0.4435,0.4468
46,Virginia,0.4624,0.4643,0.4660,0.4673,0.4666
47,Washington,0.4466,0.4496,0.4526,0.4560,0.4569
48,West Virginia,0.4623,0.4614,0.4626,0.4621,0.4620
49,Wisconsin,0.4367,0.4381,0.4407,0.4435,0.4441
50,Wyoming,0.4158,0.4185,0.4218,0.4279,0.4293
