Table 12,,,,,,,,
"Agency Hate Crime Reporting by State, 2014",,,,,,,,
Participating state,"Number of
participating
agencies","Population
covered","Agencies
submitting
incident
reports","Total
number of
incidents
reported",,,,
Total,"15,494","297,926,030","1,666","5,479",,,,
Alabama,39,"794,907",4,9,,,,
Alaska,33,"732,371",1,6,,,,
Arizona,99,"6,433,584",22,265,,,,
Arkansas,270,"2,661,818",5,8,,,,
California,743,"38,802,500",208,759,,,,
Colorado,231,"5,268,592",40,96,,,,
Connecticut,95,"3,375,662",54,123,,,,
Delaware,60,"935,614",9,13,,,,
District of Columbia,2,"658,893",2,70,,,,
Florida,505,"19,794,279",37,65,,,,
Georgia,479,"8,204,655",4,41,,,,
Guam1,1,,0,0,,,,
Idaho,112,"1,634,011",10,25,,,,
Illinois,693,"12,029,618",48,109,,,,
Indiana,348,"6,093,574",15,50,,,,
Iowa,221,"2,974,604",10,11,,,,
Kansas,359,"2,843,179",37,73,,,,
Kentucky,399,"4,386,536",84,163,,,,
Louisiana,86,"2,706,155",6,9,,,, 
Maine,184,"1,330,089",15,28,,,,
Maryland,154,"5,976,407",9,16,,,,
Massachusetts,315,"6,485,973",90,375,,,,
Michigan,607,"9,732,430",119,311,,,,
Minnesota,292,"5,287,138",27,98,,,,
Mississippi,75,"1,349,655",1,1,,,,
Missouri,630,"6,061,406",25,76,,,,
Montana,98,"992,702",12,30,,,,
Nebraska,216,"1,763,318",7,47,,,,
Nevada,51,"2,834,483",4,24,,,,
New Hampshire,158,"1,238,190",11,14,,,,
New Jersey,509,"8,936,591",126,336,,,,
New Mexico,7,"717,010",3,13,,,,
New York,572,"19,652,379",59,545,,,,
North Carolina,524,"9,942,854",40,140,,,,
North Dakota,111,"738,176",16,40,,,,
Ohio,606,"9,711,237",105,403,,,,
Oklahoma,333,"3,878,051",18,33,,,,
Oregon,92,"1,526,458",15,26,,,,
Pennsylvania,"1,457","12,587,318",22,50,,,,
Rhode Island,48,"1,054,130",4,4,,,,
South Carolina,430,"4,813,088",32,49,,,,
South Dakota,121,"776,484",12,18,,,,
Tennessee,465,"6,519,911",53,194,,,,
Texas,"1,033","26,922,758",57,145,,,,
Utah,134,"2,926,391",23,50,,,,
Vermont,91,"626,306",10,15,,,,
Virginia,414,"8,324,943",50,118,,,,
U.S. Virgin Islands1,1,,0,0,,,,
Washington,262,"7,051,748",67,308,,,,
West Virginia,269,"1,648,198",16,26,,,,
Wisconsin,397,"5,610,210",22,51,,,,
Wyoming,63,"579,446",0,0,,,,
1 The 2014 population estimates were not available at the time of publication.,,,,,,,,
